"id";"session_token";"type";"status";"creation_date";"close_date";"createdAt";"updatedAt";"from_id";"to_id";"session_name"
163;"6jrh02rex_1136";3;1;"2020-02-13 16:13:03";"";"";"";1136;1;"tettsttsats"
164;"XBI7ZE_1137";2;1;"2020-02-13 20:29:08";"";"";"";1137;1;"User updated his/her enquiry form"
165;"tvmum2g4o_1136";3;1;"2020-02-13 20:57:13";"";"";"";1136;1;"hello"
166;"d80aq1uyf_1136";3;1;"2020-02-13 21:02:15";"";"";"";1136;1;"hello "
167;"pyybhjsq8_1136";3;1;"2020-02-13 21:03:15";"";"";"";1136;1;"submission"
168;"wgg55kai7_1138";3;0;"2020-02-13 21:04:35";"";"";"";1138;1;"123456"
169;"GCZBEW_1138";2;1;"2020-02-13 21:08:08";"";"";"";1138;1;"User updated his/her enquiry form"
170;"EO393DWCD_1138";2;1;"2020-02-13 21:10:11";"";"";"";1138;1;"Req"
171;"mczpwir5g_1157";3;0;"2020-02-15 17:52:33";"";"";"";1157;1;"hello"
172;"415zy755p_1213";3;1;"2020-02-16 16:06:53";"";"";"";1213;1;"hello"
173;"9FBH12_1214";2;1;"2020-02-16 16:24:08";"";"";"";1214;1;"User updated his/her enquiry form"
174;"tc78ecncc_1163";3;1;"2020-02-16 17:30:28";"";"";"";1163;1;"ferehghgtrfhjg"
175;"uaboza7xx_1213";3;1;"2020-02-16 18:49:18";"";"";"";1213;1;"hello2"
176;"6zqm0lpte_1213";3;1;"2020-02-16 18:52:58";"";"";"";1213;1;"new test"
177;"3nbvyv20f_1216";3;1;"2020-02-16 20:25:24";"";"";"";1216;1;"is it working "
178;"KQQUXS_1242";2;1;"2020-02-16 21:19:51";"";"";"";1242;1;"User updated his/her enquiry form"
179;"ndfu9ng3n_1242";3;1;"2020-02-16 21:20:29";"";"";"";1242;1;"some text"
180;"ZKK5CFIXZ_1242";2;1;"2020-02-16 21:33:31";"";"";"";1242;1;"Req"
181;"2YMRXXZV5_1242";2;1;"2020-02-17 12:01:26";"";"";"";1242;1;"Req"
182;"rpb4tsz5b_1216";3;1;"2020-02-17 18:37:35";"";"";"";1216;1;"Help me!"
183;"4IOONM_1254";2;0;"2020-02-17 18:56:20";"";"";"";1254;1;"User updated his/her enquiry form"
184;"h89srp5nr_1216";3;0;"2020-02-17 19:40:03";"";"";"";1;1216;"Hello!"
185;"DX0H1OQ8Q_1253";2;1;"2020-02-17 20:17:27";"";"";"";1253;1;"Req"
186;"7xqeywz5t_1253";3;1;"2020-02-17 20:23:34";"";"";"";1253;1;"test message"
187;"vf2ifu6tj_1253";3;1;"2020-02-17 20:23:59";"";"";"";1253;1;"time works ? "
188;"FDY0FZ_1253";2;1;"2020-02-17 20:36:17";"";"";"";1253;1;"User updated his/her enquiry form"
189;"HI4VW7_1253";2;1;"2020-02-17 20:38:56";"";"";"";1253;1;"User updated his/her enquiry form"
190;"I6R0OLA8H_1253";2;1;"2020-02-18 20:37:58";"";"";"";1253;1;"Req"
191;"g2zowxman_1253";3;0;"2020-02-18 20:45:04";"";"";"";1;1253;"test"
192;"cwe4nx3pj_1256";3;1;"2020-02-18 21:01:19";"";"";"";1256;1;"test"
193;"bhx2xqya7_1270";2;1;"2020-02-19 12:11:31";"";"";"";1270;1;"nnnn"
194;"oo3qczlte_1270";2;1;"2020-02-19 12:12:02";"";"";"";1270;1;"gvjhvbjhbjhb"
195;"oh3b6hghc_1262";3;1;"2020-02-19 12:12:47";"";"";"";1;1262;"tetst tetst"
196;"nekw5jrnb_1270";3;1;"2020-02-19 12:13:26";"";"";"";1270;1;"nnnn"
197;"zj2gn3sg9_1259";3;1;"2020-02-19 12:16:00";"";"";"";1259;1;"test messssssss"
198;"ndxua9abk_1270";3;1;"2020-02-19 12:19:00";"";"";"";1270;1;"qweqwewq"
199;"lwf5mvssz_1271";3;1;"2020-02-19 13:13:36";"";"";"";1;1271;"shshshs"
200;"iftq9q8dy_1262";3;1;"2020-02-19 13:42:33";"";"";"";1;1262;"hello test"
201;"8ki8kxf5g_1262";3;1;"2020-02-19 13:44:26";"";"";"";1;1262;"yegfyegfjgewfgew"
